Time,StimType
0,1
2,1
4,1
6,1
8,1
10,1
12,1
14,1
16,1
18,1
20,6
22,6
24,6
26,6
28,6
30,6
32,6
34,6
36,6
38,6
40,3
42,3
44,3
46,3
48,3
50,3
52,3
54,3
56,3
58,3
60,4
62,4
64,4
66,4
68,4
70,4
72,4
74,4
76,4
78,4
80,4
82,4
84,4
86,4
88,4
90,4
92,4
94,4
96,4
98,4
100,5
102,5
104,5
106,5
108,5
110,5
112,5
114,5
116,5
118,5
120,5
122,5
124,5
126,5
128,5
130,5
132,5
134,5
136,5
138,5
140,1
142,1
144,1
146,1
148,1
150,1
152,1
154,1
156,1
158,1
160,4
162,4
164,4
166,4
168,4
170,4
172,4
174,4
176,4
178,4
180,3
182,3
184,3
186,3
188,3
190,3
192,3
194,3
196,3
198,3
200,2
202,2
204,2
206,2
208,2
210,2
212,2
214,2
216,2
218,2
220,2
222,2
224,2
226,2
228,2
230,2
232,2
234,2
236,2
238,2
242,3
244,3
246,3
248,3
250,3
252,3
254,3
256,3
258,3
260,3
262,2
264,2
266,2
268,2
270,2
272,2
274,2
276,2
278,2
280,2
282,1
284,1
286,1
288,1
290,1
292,1
294,1
296,1
298,1
300,1
302,5
304,5
306,5
308,5
310,5
312,5
314,5
316,5
318,5
320,5
322,5
324,5
326,5
328,5
330,5
332,5
334,5
336,5
338,5
340,5
358,6
360,6
362,6
364,6
366,6
368,6
370,6
372,6
374,6
376,6
380,4
382,4
384,4
386,4
388,4
390,4
392,4
394,4
396,4
398,4
400,6
402,6
404,6
406,6
408,6
410,6
412,6
414,6
416,6
418,6
422,1
424,1
426,1
428,1
430,1
432,1
434,1
436,1
438,1
440,1
442,2
444,2
446,2
448,2
450,2
452,2
454,2
456,2
458,2
460,2
464,6
466,6
468,6
470,6
472,6
474,6
476,6
478,6
480,6
482,6
484,3
486,3
488,3
490,3
492,3
494,3
496,3
498,3
500,3
502,3
