Stim	StimType	onset
+	6	0.0170042841994
#####	4	2.53845320268
#####	4	5.05994256945
grey	5	7.58144401035
glide	1	10.1029324716
#####	4	12.6243515066
#####	4	15.1459078847
darn	2	17.6673972515
laze	5	20.1888902405
slash	2	22.7103931907
#####	4	25.2318988575
+	6	27.753316987
lime	5	30.2748649132
slouch	5	32.7963717875
brag	3	35.3178768506
stray	1	37.8393438803
#####	4	40.3608326433
jog	1	42.8822833729
dart	1	45.403827677
skate	1	47.9253297216
smirk	3	50.4468112402
#####	4	52.9683075496
hike	1	55.4897935959
#####	4	58.0112657571
march	1	60.532785611
#####	4	63.0542743741
fold	2	65.5757658538
chomp	3	68.0972663892
chop	2	70.6187445874
#####	4	73.1402176541
drowse	5	75.6617344895
blink	3	78.1832292896
#####	4	80.7047283157
+	6	83.226214664
peel	2	85.7476964844
limp	1	88.2691795123
stomp	1	90.7906878958
drum	2	93.3122002034
#####	4	95.833683835
flit	1	98.3551677684
heal	2	100.876650796
grope	2	103.398197817
skim	2	105.919645528
roam	1	108.441141536
soothe	5	110.962631808
+	6	113.484132041
flow	5	116.005612956
fade	5	118.527090551
#####	4	121.048591086
tan	5	123.570093131
click	2	126.091585516
#####	4	128.613074279
lick	3	131.134573607
#####	4	133.656054824
bribe	3	136.177555359
crane	5	138.699045933
#####	4	141.220536507
tramp	1	143.74204791
stride	1	146.263530032
lift	2	148.785014569
disc	5	151.306510275
#####	4	153.828002962
wood	5	156.34950561
mauve	5	158.870989544
bronze	5	161.392483438
kick	1	163.914029553
stroke	2	166.435470925
#####	4	168.956951237
+	6	171.478458111
growl	3	173.999933894
#####	4	176.521446202
#####	4	179.042922287
pen	5	181.564421615
+	6	184.085918528
flax	5	186.607403367
crook	5	189.128915675
bright	5	191.65039508
#####	4	194.171876901
#####	4	196.693368984
groan	3	199.21485986
slurp	3	201.736354057
stab	2	204.25786727
frisk	2	206.779347581
+	6	209.300817629
+	6	211.822307902
square	5	214.343820209
boo	3	216.86531018
hum	3	219.386811922
plum	5	221.908300082
edge	5	224.429796693
+	6	226.951222369
wedge	5	229.472774219
+	6	231.994272943
fence	5	234.515769555
scratch	2	237.037255903
turf	5	239.558749797
#####	4	242.080141967
#####	4	244.601740303
#####	4	247.123223633
#####	4	249.644709679
#####	4	252.166211724
#####	4	254.687708637
dim	5	257.20906217
tempt	5	259.730690389
conk	5	262.252210243
#####	4	264.773682404
arc	5	267.295152452
#####	4	269.816669288
spit	3	272.338034593
#####	4	274.859645003
strain	5	277.38113286
grasp	2	279.902621925
sneer	3	282.424126686
hide	5	284.945620279
#####	4	287.467100289
sneak	1	289.988595391
#####	4	292.510096831
kneel	1	295.031582274
#####	4	297.553073754
grind	5	300.074568252
+	6	302.595994532
croak	3	305.117556041
ash	5	307.63903756
scrape	2	310.160552584
peak	5	312.682040442
#####	4	315.203550938
faze	5	317.724967558
slip	1	320.246505222
gold	5	322.767989155
#####	4	325.289493614
chalk	5	327.810998979
bolt	5	330.332469933
#####	4	332.853936359
coal	5	335.375471608
#####	4	337.896964898
#####	4	340.418461208
shout	3	342.939957819
#####	4	345.461433602
#####	4	347.982901538
ship	5	350.50442109
gape	3	353.025904419
+	6	355.547400729
pinch	2	358.068908207
dwell	5	360.590378255
spot	5	363.111866113
#####	4	365.633378118
storm	5	368.154864768
#####	4	370.676359568
rust	5	373.197879724
cane	5	375.719338906
dot	5	378.240818915
coach	5	380.762328204
+	6	383.283826928
skip	1	385.805307541
web	5	388.32681351
trot	1	390.848286577
skulk	1	393.369784395
#####	4	395.891278894
#####	4	398.412786674
net	5	400.93427272
tear	2	403.455823363
poke	2	405.977250246
#####	4	408.498723615
+	6	411.020249204
blight	5	413.541722874
owe	5	416.063222806
+	6	418.584725152
blush	5	421.106211802
#####	4	423.62768668
#####	4	426.149199592
roof	5	428.670678695
+	6	431.192176514
ball	5	433.713681577
ink	5	436.235160983
shoo	2	438.756635559
stamp	1	441.278152092
scream	3	443.79964327
creep	1	446.321130524
lisp	3	448.842633474
#####	4	451.364120426
grid	5	453.885609491
+	6	456.407111837
bode	5	458.92859396
beige	5	461.450085741
#####	4	463.971633668
#####	4	466.493088019
+	6	469.014558068
carve	2	471.536063433
stroll	1	474.057548875
#####	4	476.579055448
trudge	1	479.100535457
crop	5	481.622027842
#####	4	484.143522642
#####	4	486.665007481
mount	1	489.186597667
pod	5	491.708008854
salt	5	494.229500937
#####	4	496.750980947
+	6	499.272472125
#####	4	501.793937947
